code,stock_name,pubDate,statDate,currentRatio,quickRatio,cashRatio,YOYLiability,liabilityToAsset,assetToEquity
sh.600000,浦发银行,2023-10-28,2023-09-30,,,,0.046603,0.917826,12.169281
sh.600004,白云机场,2023-10-31,2023-09-30,0.653139,0.641155,0.390806,-0.051661,0.339215,1.513351
sh.600006,东风股份,2023-10-28,2023-09-30,1.516560,1.356027,0.651074,0.076050,0.543697,2.191528
sh.600007,中国国贸,2023-10-31,2023-09-30,1.984589,1.969463,1.817568,-0.129344,0.256687,1.345328
sh.600008,首创环保,2023-10-28,2023-09-30,0.973904,0.921722,0.200115,-0.053120,0.624681,2.664397
sh.600009,上海机场,2023-10-31,2023-09-30,1.745526,1.740074,1.362654,0.006092,0.397033,1.658466
sh.600010,包钢股份,2023-10-27,2023-09-30,0.620623,0.377428,0.121962,0.070954,0.599176,2.494863
sh.600011,华能国际,2023-10-25,2023-09-30,0.589916,0.520158,0.121145,-0.002777,0.700240,3.335997
sh.600012,皖通高速,2023-10-31,2023-09-30,2.811584,2.809374,2.635507,-0.051430,0.370770,1.589243
sh.600015,华夏银行,2023-10-28,2023-09-30,,,,0.073405,0.923767,13.117595
sh.600016,民生银行,2023-10-31,2023-09-30,,,,0.055954,0.915665,11.857443
sh.600017,日照港,2023-10-27,2023-09-30,0.363099,0.346647,0.164831,0.411365,0.597177,2.482482
sh.600018,上港集团,2023-10-31,2023-09-30,2.523300,1.941059,1.471367,0.041566,0.317944,1.466156
sh.600019,宝钢股份,2023-10-25,2023-09-30,1.347790,0.952530,0.318869,-0.124446,0.424010,1.736140
sh.600020,中原高速,2023-10-28,2023-09-30,0.919176,0.253820,0.128543,-0.028399,0.701428,3.349279
sh.600021,上海电力,2023-10-28,2023-09-30,0.829550,0.812433,0.210741,-0.031755,0.696705,3.297121
sh.600022,山东钢铁,2023-10-28,2023-09-30,0.525977,0.348686,0.242813,-0.037994,0.543062,2.188478
