code(股票代码),stock_name(股票名称),pubDate(发布日期),statDate(统计截止日),roeAvg(平均净资产收益率),npMargin(净利率),gpMargin(毛利率),netProfit(净利润),epsTTM(每股收益(TTM)),MBRevenue(主营业务收入),totalShare(总股本),liqaShare(流通股本)
sh.600000,浦发银行,2023-10-28,2023-09-30,0.039596,0.215277,,28592000000.0,1.318301,,29352176396.0,29352176396.0
sh.600004,白云机场,2023-10-31,2023-09-30,0.015817,0.063264,0.202846,291482304.56,-0.071808,,2366718283.0,2366718283.0
sh.600006,东风股份,2023-10-28,2023-09-30,0.004565,0.004539,0.046304,41612926.06,0.112175,,2000000000.0,2000000000.0
sh.600007,中国国贸,2023-10-31,2023-09-30,0.107838,0.339927,0.603481,1002773186.0,1.24012,,1007282534.0,1007282534.0
sh.600008,首创环保,2023-10-28,2023-09-30,0.045319,0.120102,0.342286,1697178398.87,0.160621,,7340590677.0,7340590677.0
sh.600009,上海机场,2023-10-31,2023-09-30,0.012465,0.083369,0.145764,660351059.62,-0.158962,,2488481340.0,1926958448.0
sh.600010,包钢股份,2023-10-27,2023-09-30,0.00901,0.000766,0.102005,41068533.12,0.010814,,45404942248.0,31497121187.0
sh.600011,华能国际,2023-10-25,2023-09-30,0.102145,0.070321,0.1286,13453907989.0,0.580886,,15698093359.0,10997709919.0
sh.600012,皖通高速,2023-10-31,2023-09-30,0.111301,0.3201,0.468149,1390532682.96,0.978224,,1658610000.0,1165600000.0
sh.600015,华夏银行,2023-10-28,2023-09-30,0.056975,0.257914,,18340000000.0,1.628283,,15914928468.0,12822686653.0
sh.600016,民生银行,2023-10-31,2023-09-30,0.055,0.318304,,33837000000.0,0.800961,,43782418502.0,35462123213.0
sh.600017,日照港,2023-10-27,2023-09-30,0.050531,0.127411,0.267629,770668128.63,0.177406,,3075653888.0,3075653888.0
sh.600018,上港集团,2023-10-31,2023-09-30,0.097546,0.437552,0.399904,12003657101.18,0.559791,,23284144750.0,23173674650.0
sh.600019,宝钢股份,2023-10-25,2023-09-30,0.042478,0.037914,0.061634,9668798137.29,0.497413,,22262200234.0,21857918984.0
sh.600020,中原高速,2023-10-28,2023-09-30,0.066435,0.236728,0.512749,912033952.3,0.28867,,2247371832.0,2247371832.0
sh.600021,上海电力,2023-10-28,2023-09-30,0.064464,0.100112,0.231826,3148224560.53,0.551972,,2816743645.0,2617164197.0
sh.600022,山东钢铁,2023-10-28,2023-09-30,-0.015761,-0.0007,0.040276,-47858357.99,-0.011844,,10698849554.0,10698849554.0
