code,stock_name,pubDate,statDate,CAToAsset,NCAToAsset,tangibleAssetToAsset,ebitToInterest,CFOToOR,CFOToNP,CFOToGr
sh.600000,浦发银行,2024-10-31,2024-09-30,,,,,-1.243063,-4.522599,-1.243063
sh.600004,白云机场,2024-10-31,2024-09-30,0.218478,0.781522,0.637845,19.374174,0.525054,3.990864,0.525054
sh.600006,东风股份,2024-10-31,2024-09-30,0.715201,0.284799,0.431624,,-0.289965,,-0.289965
sh.600007,中国国贸,2024-10-31,2024-09-30,0.328683,0.671317,0.727921,92.700340,0.506550,1.466374,0.506550
sh.600008,首创环保,2024-10-30,2024-09-30,0.268068,0.731932,-0.147999,4.785448,0.141145,0.529887,0.141145
sh.600009,上海机场,2024-10-31,2024-09-30,0.265169,0.734831,0.554853,5.870777,0.413858,2.658733,0.413858
sh.600010,包钢股份,2024-10-31,2024-09-30,0.253402,0.746598,0.312558,0.428758,0.018001,,0.018001
sh.600011,华能国际,2024-10-30,2024-09-30,0.179568,0.820432,0.185593,3.692909,0.233155,3.218946,0.233155
sh.600012,皖通高速,2024-10-29,2024-09-30,0.208782,0.791218,-0.128896,32.595266,0.418112,1.699868,0.418112
sh.600015,华夏银行,2024-10-31,2024-09-30,,,,,-0.104745,-0.394191,-0.104745
sh.600016,民生银行,2024-10-31,2024-09-30,,,,,-1.914224,-6.335460,-1.914224
sh.600017,日照港,2024-10-30,2024-09-30,0.078994,0.921006,0.154473,3.034035,0.301492,2.579797,0.301492
sh.600018,上港集团,2024-10-31,2024-09-30,0.262541,0.737459,0.527522,48.279878,0.256999,0.586486,0.256999
sh.600019,宝钢股份,2024-10-30,2024-09-30,0.366906,0.633094,0.494901,7.869780,0.064394,2.270219,0.064394
sh.600020,中原高速,2024-10-30,2024-09-30,0.131032,0.868968,-0.225602,2.604135,0.346674,1.981904,0.346674
sh.600021,上海电力,2024-10-29,2024-09-30,0.213699,0.786301,0.128187,3.093785,0.230575,1.712251,0.230575
sh.600022,山东钢铁,2024-10-31,2024-09-30,0.234531,0.765470,0.193514,-6.456861,0.024423,,0.024423
sh.600023,浙能电力,2024-10-30,2024-09-30,0.266684,0.733316,0.433282,11.391713,0.148646,1.236557,0.148646
sh.600025,华能水电,2024-10-30,2024-09-30,0.032953,0.967047,0.330737,5.582766,0.738796,1.845386,0.738796
sh.600026,中远海能,2024-10-31,2024-09-30,0.116748,0.883252,0.476452,6.063783,0.336103,1.578325,0.336103
sh.600027,华电国际,2024-10-31,2024-09-30,0.130385,0.869615,0.272414,4.011989,0.141239,1.984369,0.141239
sh.600028,中国石化,2024-10-29,2024-09-30,0.283890,0.716110,0.307261,8.095068,0.042907,1.998917,0.042907
sh.600029,南方航空,2024-10-29,2024-09-30,0.101389,0.898611,0.059939,2.130830,0.199442,7.288195,0.199442
sh.600030,中信证券,2024-10-30,2024-09-30,,,,,2.462309,6.510546,2.462309
sh.600031,三一重工,2024-10-31,2024-09-30,0.656347,0.343653,0.415830,20.105492,0.213769,2.485554,0.212047
sh.600032,浙江新能,2024-10-29,2024-09-30,0.216242,0.783758,0.215342,2.475850,0.561761,2.354387,0.561761
sh.600033,福建高速,2024-10-31,2024-09-30,0.167136,0.832864,0.665951,52.711839,0.672576,1.540850,0.672576
sh.600035,楚天高速,2024-10-30,2024-09-30,0.068296,0.931704,-0.293079,6.601537,0.465815,1.817736,0.465815
sh.600036,招商银行,2024-10-30,2024-09-30,,,,,1.136616,2.518726,1.136616
sh.600037,歌华有线,2024-10-31,2024-09-30,0.581811,0.418189,0.801102,,0.233296,,0.233296
sh.600038,中直股份,2024-10-30,2024-09-30,0.853213,0.146787,0.281884,13.240951,-0.662033,-32.776046,-0.662033
sh.600039,四川路桥,2024-10-31,2024-09-30,0.599742,0.400258,0.042322,3.592021,-0.077997,-1.147367,-0.077997
sh.600048,保利发展,2024-10-29,2024-09-30,0.873593,0.126407,0.132714,6.612737,-0.087440,-1.305510,-0.087440
sh.600050,中国联通,2024-10-23,2024-09-30,0.267517,0.732483,0.194556,,0.200780,3.070210,0.200780
sh.600051,宁波联合,2024-10-29,2024-09-30,0.629507,0.370493,0.623901,1.660563,-0.001745,-0.233301,-0.001745
sh.600052,东望时代,2024-10-31,2024-09-30,0.404195,0.595805,0.794623,,-0.044120,-0.113656,-0.044120
sh.600053,九鼎投资,2024-10-31,2024-09-30,0.677377,0.322623,0.850032,12.450968,-0.295958,-8.412258,-0.295958
