code,stock_name,pubDate,statDate,dupontROE,dupontAssetStoEquity,dupontAssetTurn,dupontPnitoni,dupontNitogr,dupontTaxBurden,dupontIntburden,dupontEbittogr
sh.600000,浦发银行,2024-10-31,2024-09-30,0.048669,12.728388,0.014095,0.986998,0.274856,0.953280,,
sh.600004,白云机场,2024-10-31,2024-09-30,0.037446,1.490442,0.199372,0.957823,0.131564,0.730355,0.950426,0.189533
sh.600006,东风股份,2024-10-31,2024-09-30,-0.013943,2.190220,0.443047,1.007579,-0.014261,1.076650,0.658195,-0.020124
sh.600007,中国国贸,2024-10-31,2024-09-30,0.106608,1.308489,0.235993,0.999408,0.345444,0.750028,1.009236,0.456359
sh.600008,首创环保,2024-10-30,2024-09-30,0.107333,3.627644,0.126186,0.880273,0.266368,0.877425,0.789177,0.384678
sh.600009,上海机场,2024-10-31,2024-09-30,0.029553,1.702333,0.132783,0.839915,0.155660,0.855734,0.832891,0.218399
sh.600010,包钢股份,2024-10-31,2024-09-30,-0.010009,2.955879,0.326964,0.742711,-0.013944,1.015578,-1.016701,0.013505
sh.600011,华能国际,2024-10-30,2024-09-30,0.077178,4.098951,0.333428,0.779633,0.072432,0.811437,0.748065,0.119327
sh.600012,皖通高速,2024-10-29,2024-09-30,0.095627,1.744582,0.226398,0.984330,0.245967,0.757733,0.971703,0.334062
sh.600015,华夏银行,2024-10-31,2024-09-30,0.055229,12.830015,0.016542,0.979314,0.265720,0.754722,,
sh.600016,民生银行,2024-10-31,2024-09-30,0.048487,12.225117,0.013226,0.992512,0.302144,0.958168,,
sh.600017,日照港,2024-10-30,2024-09-30,0.046964,2.912847,0.159274,0.866185,0.116866,0.830063,0.670900,0.209856
sh.600018,上港集团,2024-10-31,2024-09-30,0.092980,1.628637,0.140309,0.928551,0.438202,0.861593,0.976678,0.520739
sh.600019,宝钢股份,2024-10-30,2024-09-30,0.029458,1.861057,0.653513,0.853908,0.028364,0.837472,0.906369,0.037368
sh.600020,中原高速,2024-10-30,2024-09-30,0.055074,3.387936,0.092930,1.000025,0.174920,0.754337,0.616188,0.376322
sh.600021,上海电力,2024-10-29,2024-09-30,0.085583,6.046621,0.187478,0.560634,0.134662,0.836555,0.691543,0.232773
sh.600022,山东钢铁,2024-10-31,2024-09-30,-0.071257,3.279317,0.963511,0.919757,-0.024520,1.008780,1.165073,-0.020862
sh.600023,浙能电力,2024-10-30,2024-09-30,0.096096,2.152225,0.441788,0.840742,0.120210,0.891375,0.917978,0.146909
sh.600025,华能水电,2024-10-30,2024-09-30,0.102258,2.824606,0.097288,0.929492,0.400348,0.858725,0.819214,0.569097
sh.600026,中远海能,2024-10-31,2024-09-30,0.097063,2.092851,0.232818,0.935449,0.212949,0.820391,0.832947,0.311629
sh.600027,华电国际,2024-10-31,2024-09-30,0.073415,3.166902,0.381285,0.854218,0.071176,0.821982,0.750747,0.115339
sh.600028,中国石化,2024-10-29,2024-09-30,0.054461,2.538194,1.147607,0.871038,0.021465,0.805320,0.867433,0.030728
sh.600029,南方航空,2024-10-29,2024-09-30,0.052080,8.284783,0.430793,0.533243,0.027365,0.743693,0.542301,0.067852
sh.600030,中信证券,2024-10-30,2024-09-30,0.060498,5.735209,0.028974,0.962635,0.378203,0.795928,,
sh.600031,三一重工,2024-10-31,2024-09-30,0.070067,2.166963,0.387647,0.977726,0.085312,0.879828,1.013820,0.095642
sh.600032,浙江新能,2024-10-29,2024-09-30,0.052404,4.390959,0.072610,0.688856,0.238602,0.851464,0.596235,0.469991
sh.600033,福建高速,2024-10-31,2024-09-30,0.069431,1.489981,0.133248,0.801187,0.436497,0.753986,0.981198,0.590012
sh.600035,楚天高速,2024-10-30,2024-09-30,0.079207,2.346148,0.136675,0.963904,0.256261,0.731575,0.849918,0.412142
sh.600036,招商银行,2024-10-30,2024-09-30,0.101561,10.176893,0.022282,0.992503,0.451266,0.850568,,
sh.600037,歌华有线,2024-10-31,2024-09-30,-0.000940,1.230758,0.099473,1.000000,-0.007678,5.303542,0.018736,-0.077267
sh.600038,中直股份,2024-10-30,2024-09-30,0.027398,3.086436,0.429853,1.022413,0.020199,0.847871,1.032108,0.023082
sh.600039,四川路桥,2024-10-31,2024-09-30,0.105404,5.428402,0.292407,0.976834,0.067979,0.824728,0.733403,0.112389
sh.600048,保利发展,2024-10-29,2024-09-30,0.039132,7.039604,0.130049,0.638187,0.066978,0.735872,0.867311,0.104943
sh.600050,中国联通,2024-10-23,2024-09-30,0.051219,4.098338,0.434844,0.439480,0.065396,0.810168,1.009041,0.079996
sh.600051,宁波联合,2024-10-29,2024-09-30,0.016517,1.624418,0.186894,7.273182,0.007480,0.349443,0.391663,0.054656
sh.600052,东望时代,2024-10-31,2024-09-30,0.031256,1.142171,0.069173,1.019115,0.388190,1.075270,1.188542,0.303748
sh.600053,九鼎投资,2024-10-31,2024-09-30,0.002421,1.153546,0.057103,1.044769,0.035182,0.373372,0.893084,0.105508
sh.600054,黄山旅游,2024-10-31,2024-09-30,0.062525,1.246506,0.248573,0.910941,0.221521,0.698074,1.004567,0.315889
sh.600055,万东医疗,2024-10-26,2024-09-30,0.024491,1.135357,0.203740,0.992344,0.106695,0.838191,1.534397,0.082959
sh.600056,中国医药,2024-10-26,2024-09-30,0.038518,3.242681,0.693332,0.720141,0.023790,0.736746,0.927579,0.034812
sh.600057,厦门象屿,2024-10-31,2024-09-30,0.040218,5.804360,2.318294,0.613558,0.004871,0.895189,0.699803,0.007776
sh.600058,五矿发展,2024-10-31,2024-09-30,0.018120,3.350023,2.038811,0.929660,0.002854,0.719400,0.550119,0.007211
sh.600059,古越龙山,2024-10-26,2024-09-30,0.023135,1.142560,0.194096,0.994102,0.104941,0.749353,1.200054,0.116696
sh.600060,海信视像,2024-10-30,2024-09-30,0.069570,2.307367,0.935388,0.838505,0.038442,0.889745,0.986346,0.043804
sh.600061,国投资本,2024-10-31,2024-09-30,0.038851,5.300544,0.036102,0.842129,0.241085,0.793291,0.904294,0.336068
sh.600062,华润双鹤,2024-10-26,2024-09-30,0.131278,1.502353,0.534662,0.989589,0.165153,0.872888,1.016311,0.186166
sh.600063,皖维高新,2024-10-26,2024-09-30,0.024444,1.804124,0.402446,1.074206,0.031341,0.772270,0.981228,0.041359
sh.600064,南京高科,2024-10-24,2024-09-30,0.100600,2.098047,0.039589,0.991951,1.221002,0.976793,0.921321,1.356760
sh.600066,宇通客车,2024-10-29,2024-09-30,0.180795,2.277805,0.785771,0.989087,0.102127,0.919412,1.034325,0.107392
sh.600067,冠城新材,2024-10-30,2024-09-30,-0.011093,3.179274,0.303975,2.262910,-0.005072,-0.694309,0.230135,0.031746
sh.600070,*ST富润,2024-10-31,2024-09-30,-0.268333,1.696647,0.103778,0.986504,-1.544822,0.980666,1.024786,-1.537177
sh.600071,凤凰光学,2024-10-29,2024-09-30,-0.046685,4.271724,0.665753,0.876134,-0.018737,1.054195,5.069654,-0.003506
sh.600072,中船科技,2024-10-31,2024-09-30,-0.006529,4.516322,0.103796,-15.222233,0.000915,-0.307074,-0.063860,0.046660
sh.600073,光明肉业,2024-10-31,2024-09-30,0.075415,2.881276,1.124554,1.107253,0.021021,0.721917,0.969172,0.030044
sh.600075,新疆天业,2024-10-23,2024-09-30,0.001090,2.245444,0.375072,0.996183,0.001299,0.200912,0.212521,0.030419
sh.600076,康欣新材,2024-10-29,2024-09-30,-0.029302,1.621809,0.071089,0.997414,-0.254816,1.005270,1.848298,-0.137142
sh.600078,澄星股份,2024-10-31,2024-09-30,-0.037712,3.003021,0.449634,3.498045,-0.007984,0.442683,-1.135848,0.015879
sh.600079,人福医药,2024-10-30,2024-09-30,0.091068,2.106726,0.520552,0.754346,0.110084,0.813980,0.918487,0.147244
sh.600080,金花股份,2024-10-30,2024-09-30,0.019486,1.256547,0.211137,1.000000,0.073449,0.948022,1.069373,0.072450
