code(股票代码),stock_name(股票名称)
sh.600012,皖通高速
sh.600018,上港集团
sh.600032,浙江新能
sh.600033,福建高速
sh.600039,四川路桥
sh.600062,华润双鹤
sh.600072,中船科技
sh.600084,中信尼雅
sh.600085,同仁堂
sh.600089,特变电工
sh.600095,湘财股份
sh.600099,林海股份
sh.600103,青山纸业
sh.600108,亚盛集团
sh.600109,国金证券
sh.600120,浙江东方
sh.600128,苏豪弘业
sh.600131,国网信通
sh.600137,浪莎股份
sh.600155,华创云信
sh.600182,S佳通
sh.600183,生益科技
sh.600184,光电股份
sh.600186,莲花控股
sh.600193,创兴资源
sh.600195,中牧股份
sh.600198,大唐电信
sh.600201,生物股份
sh.600206,有研新材
sh.600212,绿能慧充
sh.600216,浙江医药
sh.600217,中再资环
sh.600226,亨通股份
sh.600229,城市传媒
sh.600233,圆通速递
sh.600234,*ST科新
sh.600249,两面针
sh.600268,国电南自
sh.600272,开开实业
sh.600273,嘉化能源
sh.600276,恒瑞医药
sh.600278,东方创业
sh.600302,标准股份
sh.600305,恒顺醋业
sh.600308,华泰股份
sh.600312,平高电气
sh.600313,农发种业
sh.600318,新力金融
sh.600329,达仁堂
sh.600330,天通股份
sh.600332,白云山
sh.600339,中油工程
sh.600345,长江通信
sh.600353,旭光电子
sh.600354,敦煌种业
sh.600356,恒丰纸业
sh.600363,联创光电
sh.600379,宝光股份
sh.600381,ST春天
sh.600389,江山股份
sh.600390,五矿资本
sh.600392,盛和资源
sh.600406,国电南瑞
sh.600416,湘电股份
sh.600420,国药现代
sh.600421,华嵘控股
sh.600422,昆药集团
sh.600426,华鲁恒升
sh.600436,片仔癀
sh.600444,国机通用
sh.600459,贵研铂业
sh.600460,士兰微
sh.600468,百利电气
sh.600477,杭萧钢构
sh.600482,中国动力
sh.600496,精工钢构
sh.600498,烽火通信
sh.600499,科达制造
sh.600508,上海能源
sh.600511,国药股份
sh.600519,贵州茅台
sh.600522,中天科技
sh.600523,贵航股份
sh.600529,山东药玻
sh.600551,时代出版
sh.600557,康缘药业
sh.600560,金自天正
sh.600563,法拉电子
sh.600573,惠泉啤酒
sh.600577,精达股份
sh.600582,天地科技
sh.600583,海油工程
sh.600584,长电科技
sh.600585,海螺水泥
sh.600598,北大荒
sh.600599,ST熊猫
sh.600601,方正科技
sh.600602,云赛智联
sh.600626,申达股份
sh.600642,申能股份
sh.600660,福耀玻璃
sh.600667,太极实业
sh.600679,上海凤凰
sh.600689,上海三毛
sh.600703,三安光电
sh.600714,金瑞矿业
sh.600717,天津港
sh.600720,中交设计
